Month,DayOfMonth,Hour,Minute,SOUTH_WALL_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,EAST_WALL_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,NORTH_WALL_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,WEST_WALL_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,ROOF_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,SOUTH_WINDOW_1_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,SOUTH_WINDOW_1_Surface_Window_Transmitted_Solar_Radiation_Rate,SOUTH_WINDOW_2_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,SOUTH_WINDOW_2_Surface_Window_Transmitted_Solar_Radiation_Rate,MAIN_ZONE_Zone_Mean_Air_Temperature,MAIN_ZONE_IDEAL_LOADS_Zone_Ideal_Loads_Supply_Air_Total_Heating_Energy,MAIN_ZONE_IDEAL_LOADS_Zone_Ideal_Loads_Supply_Air_Sensible_Cooling_Energy,MAIN_ZONE_IDEAL_LOADS_Zone_Ideal_Loads_Supply_Air_Total_Heating_Rate,MAIN_ZONE_IDEAL_LOADS_Zone_Ideal_Loads_Supply_Air_Sensible_Cooling_Rate
10,24,14,0.0,736.9003926800855,97.05290334498702,97.05290334498702,535.890745060276,572.1313258516675,736.9003926800855,2843.6153731352115,736.9003926800855,2843.6153731352115,26.999999999976087,0.0,18069427.49986634,0.0,5019.285416629539
10,24,15,0.0,565.9300276054418,90.59341024384193,90.59341024384193,633.4316713579998,417.61771017155957,565.9300276054418,2083.38489342431,565.9300276054418,2083.38489342431,26.99999999999973,0.0,15931146.779152922,0.0,4425.318549764701
10,24,16,0.0,300.8324315888007,59.400808047131676,59.400808047131676,493.76112818194247,210.1778339121934,300.8324315888007,1020.0428231483497,300.8324315888007,1020.0428231483497,27.0,0.0,10407491.718271023,0.0,2890.96992174195
10,24,17,0.0,119.58448401807951,23.04685364353678,23.04685364353678,303.23052493034254,64.23226946090479,119.58448401807951,349.3299981440468,119.58448401807951,349.3299981440468,27.0,0.0,4702849.046932456,0.0,1306.3469574812377
10,24,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.86568398588496,0.0,538788.2654630542,0.0,149.6634070730706
10,24,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.1548855116974,0.0,0.0,0.0,0.0
10,24,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.154683521644884,0.0,0.0,0.0,0.0
10,24,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.310910333777127,0.0,0.0,0.0,0.0
10,24,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.05184991747493,489198.3424632551,0.0,135.8884284620153,0.0
10,24,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000000001253174,1968715.6731853732,0.0,546.8654647737148,0.0
10,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000000000000004,3142725.959455273,0.0,872.9794331820203,0.0
10,25,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3778392.5919125397,0.0,1049.5534977534833,0.0
10,25,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4243604.390958809,0.0,1178.7789974885582,0.0
10,25,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.999999999999996,4277090.3480324345,0.0,1188.0806522312319,0.0
